UF,V1022,V2001,V2005,V2007,V2009,V2010,V3001,V3009A,VD4019
23.0,2.0,2.0,2.0,2.0,44.0,4.0,2.0,3.0,
23.0,1.0,4.0,2.0,1.0,81.0,4.0,1.0,7.0,
23.0,1.0,3.0,2.0,2.0,40.0,4.0,1.0,10.0,1320.0
23.0,1.0,3.0,4.0,2.0,12.0,1.0,1.0,,
23.0,1.0,2.0,1.0,2.0,22.0,1.0,1.0,7.0,
23.0,1.0,2.0,1.0,2.0,60.0,1.0,1.0,10.0,1500.0
23.0,2.0,1.0,1.0,2.0,79.0,4.0,2.0,3.0,
23.0,2.0,6.0,6.0,2.0,15.0,4.0,1.0,,
23.0,1.0,2.0,1.0,2.0,54.0,1.0,1.0,10.0,
23.0,1.0,3.0,12.0,2.0,75.0,4.0,2.0,,
23.0,1.0,2.0,5.0,1.0,9.0,4.0,1.0,,
23.0,1.0,5.0,8.0,1.0,48.0,1.0,1.0,10.0,3000.0
23.0,1.0,3.0,10.0,1.0,33.0,4.0,1.0,10.0,
23.0,1.0,1.0,1.0,2.0,82.0,4.0,1.0,5.0,
23.0,1.0,3.0,2.0,1.0,54.0,1.0,1.0,7.0,2000.0
23.0,1.0,1.0,1.0,2.0,79.0,4.0,2.0,,
23.0,1.0,2.0,5.0,1.0,3.0,4.0,,,
23.0,1.0,5.0,8.0,2.0,48.0,5.0,1.0,7.0,
23.0,1.0,2.0,1.0,2.0,41.0,4.0,1.0,12.0,3000.0
23.0,1.0,1.0,1.0,1.0,32.0,4.0,1.0,10.0,1600.0
23.0,1.0,6.0,5.0,1.0,18.0,4.0,1.0,,
23.0,1.0,3.0,10.0,2.0,20.0,4.0,1.0,7.0,1500.0
23.0,1.0,3.0,2.0,2.0,41.0,1.0,1.0,7.0,
23.0,1.0,3.0,14.0,2.0,66.0,3.0,1.0,7.0,
23.0,1.0,5.0,2.0,2.0,31.0,4.0,1.0,7.0,70.0
23.0,1.0,2.0,1.0,1.0,52.0,4.0,2.0,2.0,600.0
23.0,1.0,3.0,2.0,2.0,58.0,4.0,1.0,10.0,
23.0,1.0,4.0,1.0,2.0,36.0,1.0,1.0,10.0,
23.0,1.0,4.0,5.0,1.0,10.0,4.0,1.0,,
23.0,1.0,3.0,2.0,2.0,26.0,2.0,1.0,10.0,
23.0,1.0,4.0,2.0,1.0,35.0,4.0,1.0,10.0,700.0
23.0,2.0,2.0,1.0,2.0,52.0,4.0,1.0,7.0,
23.0,2.0,5.0,1.0,1.0,44.0,1.0,1.0,7.0,800.0
23.0,1.0,2.0,2.0,1.0,37.0,1.0,1.0,7.0,2000.0
23.0,1.0,2.0,5.0,1.0,28.0,4.0,1.0,,
23.0,1.0,4.0,5.0,2.0,66.0,4.0,1.0,12.0,
23.0,1.0,1.0,1.0,2.0,78.0,4.0,2.0,5.0,20.0
23.0,1.0,2.0,2.0,2.0,47.0,4.0,1.0,7.0,
23.0,1.0,2.0,1.0,2.0,21.0,4.0,1.0,10.0,
23.0,1.0,2.0,1.0,1.0,15.0,4.0,1.0,,
23.0,1.0,1.0,1.0,2.0,73.0,4.0,1.0,5.0,
23.0,1.0,4.0,1.0,2.0,27.0,4.0,1.0,10.0,
23.0,1.0,4.0,5.0,2.0,19.0,4.0,1.0,,
23.0,1.0,2.0,2.0,2.0,74.0,4.0,1.0,3.0,
23.0,1.0,2.0,2.0,1.0,57.0,1.0,1.0,10.0,1320.0
23.0,1.0,6.0,1.0,1.0,84.0,4.0,1.0,7.0,
23.0,1.0,6.0,10.0,1.0,13.0,4.0,1.0,,
23.0,1.0,6.0,10.0,1.0,11.0,4.0,1.0,,
23.0,1.0,4.0,10.0,1.0,14.0,4.0,1.0,,
23.0,1.0,3.0,2.0,1.0,30.0,4.0,1.0,10.0,650.0
23.0,1.0,3.0,1.0,2.0,69.0,2.0,2.0,,
23.0,1.0,4.0,2.0,1.0,42.0,4.0,1.0,7.0,200.0
23.0,1.0,5.0,5.0,2.0,9.0,4.0,2.0,,
23.0,1.0,4.0,2.0,2.0,37.0,4.0,1.0,,2640.0
23.0,1.0,4.0,5.0,2.0,19.0,1.0,1.0,,
23.0,1.0,2.0,1.0,2.0,66.0,4.0,1.0,11.0,
